Quest Title,Type,Objectives,Rewards,Required for Kappa
Overpopulation,Elimination,Secure the cottage area from Scavs on Lighthouse,"+12,000 EXP
Peacekeeper Rep +0.02
1,100 Dollars
Unlocks barter for DS Arms SA-58 7.62x51 assault rifle (variant AUT) at Peacekeeper LL2",Yes
Revision - Lighthouse,Discovery,"Locate and mark the first BRDM with an MS2000 Marker
Locate and mark the second BRDM with an MS2000 Marker
Locate and mark the first Stryker with an MS2000 Marker
Locate and mark the second Stryker with an MS2000 Marker","+7,800 EXP
Peacekeeper Rep +0.03
850 Dollars
Unlocks purchase of FN Five-seveN MK2 5.7x28 pistol (FDE) at Peacekeeper LL2
Unlocks purchase of 7.62x51mm M80 at Peacekeeper LL3",Yes
Trophies,Pickup,"Find in raid and handover 20× BEAR PMC Dogtags of level 50+
Find in raid and handover 20× USEC PMC Dogtags of level 50+","+137,000 EXP
4× Ammunition case
1× UNTAR armband
1× FN40GL Mk2 40mm grenade launcher
10× 40x46mm M433 (HEDP) grenade",No
Revision - Streets of Tarkov,Discovery,"Locate and mark the first LAV III with an MS2000 Marker on Streets of Tarkov
Locate and mark the Stryker with an MS2000 Marker on Streets of Tarkov
Locate and mark the second LAV III with an MS2000 Marker on Streets of Tarkov
Survive and extract from the location","+8,600 EXP
Peacekeeper Rep +0.02
450 Dollars
Unlocks purchase of FN SCAR-L 5.56x45 assault rifle (FDE) (variant CQC) at Peacekeeper LL2",No
Road Closed,Exploration,"Locate the cargo convoy on Streets of Tarkov
Determine the ambush spot
Survive and extract from the location","+10,500 EXP
Peacekeeper Rep +0.02
62,300 Roubles
1× HK MP7A1 4.6x30 submachine gun
3× HK MP7 4.6x30 20-round magazine
80× 4.6x30mm Action SX",No
Worst Job in the World,Elimination,Eliminate any 30 hostiles from over 100 meters away while using AR-15 platform weapons,"+15,400 EXP
Peacekeeper Rep +0.03
Unlocks barter for M203 40mm underbarrel grenade launcher at Peacekeeper LL3
Unlocks purchase of 40x46mm M386 (HE) grenade at Peacekeeper LL3",No
Your Car Needs a Service,PickUp,"Obtain the digital storage device from the car dealership manager's office on Streets of Tarkov
Hand over the digital storage device","+31,400 EXP
Peacekeeper Rep +0.03
1,000 Dollars
Unlocks craft for 5.56x45mm M855A1 at Workbench level 3",No
Mechanic,,,,
Quest,Type,,,Objectives
Saving the Mole,PickUp,"Locate the USEC PMC group at the parking lot of the TerraGroup complex on Ground Zero
Locate the lab scientist on Ground Zero
Access the scientist's office
Locate and obtain the scientist's hard drive
Hand over the hard drive","+3,800 EXP
Mechanic Rep +0.01
15,000 Roubles
2× Tube of Poxeram cold welding
2× Metal spare parts",No
Introduction,Completion,"Find Jaeger's camp at the specified spot on Woods
Obtain Jaeger's encrypted message
Hand over the message to Mechanic","+4,500 EXP
Mechanic Rep +0.03
30,000 Roubles
Unlocks Jaeger as trader",Yes
Gunsmith - Part 1,Parameter-oriented modding,Modify an MP-133 to comply with the required specification,"+800 EXP
Mechanic Rep +0.01
10,000 Roubles
1× Screw nuts
1× Bolts
20× 12/70 makeshift .50 BMG slug
Unlocks purchase of AR-15 Windham Weaponry Rail Gas Block at Mechanic LL1",Yes
Gunsmith - Part 2,Parameter-oriented modding,Modify an AKS-74U to comply with the given specifications,"+2,000 EXP
Mechanic Rep +0.01
15,000 Roubles
2× Capacitors
2× Bundle of wires
2× Light bulb
Unlocks purchase of AK 100-series polymer handguard at Prapor LL1",Yes
Gunsmith - Part 3,Parameter-oriented modding,Modify an MP5 to comply with the given specifications,"+2,800 EXP
Mechanic Rep +0.01
250 Dollars
2× SwampFox Trihawk Prism Scope 3x30
2× Magpul RVG foregrip (FDE)
Unlocks barter for Glock 17 9x19 pistol (variant Tac 3) at Mechanic LL1",Yes
Gunsmith - Part 4,Parameter-oriented modding,Modify an OP-SKS to comply with the given specifications,"+3,600 EXP
Mechanic Rep +0.01
25,000 Roubles
2× Gunpowder ""Kite""
1× Car battery
1× Electric motor
Unlocks barter for PP-19-01 ""Vityaz"" 9x19 submachine gun (variant Zenit) at Mechanic LL1",Yes
Gunsmith - Part 5,Parameter-oriented modding,Modify a Remington Model 870 to comply with the given specifications,"+4,100 EXP
Mechanic Rep +0.01
300 Dollars
3× Weapon parts
Unlocks barter for Ammunition case at Mechanic LL1",Yes
Gunsmith - Part 6,Parameter-oriented modding,Modify an AKM to comply with the given specifications,"+5,800 EXP
Mechanic Rep +0.01
50,000 Roubles
2× Pack of screws
2× Phase control relay
60× 7.62x39mm BP gzh
Unlocks purchase of AK GP-25 accessory kit recoil pad at Prapor LL2",Yes
Gunsmith - Part 7,Parameter-oriented modding,Modify an M4A1 to comply with the given specifications,"+6,300 EXP
Mechanic Rep +0.01
500 Dollars
1x Pliers Elite
1x Electric drill
Unlocks purchase of AR-15 Daniel Defense MK12 Low Profile Gas Block at Mechanic LL2",Yes
Gunsmith - Part 8,Parameter-oriented modding,Modify an AKS-74N to comply with the given specifications,"+8,600 EXP
Mechanic Rep +0.02
75,000 Roubles
2× AKS-74U CAA XRSU47SU tactical handguard
2x AK-74 thread type JMac Customs RRD-4C multi-caliber muzzle brake
60x 5.45x39mm BS gs",Yes
Gunsmith - Part 9,Parameter-oriented modding,Modify an P226R to comply with the given specifications,"+9,800 EXP
Mechanic Rep +0.02
300 Euros
2× Gunpowder ""Hawk""
Unlocks purchase of Colt M4A1 5.56x45 assault rifle (variant SOPMOD I) at Mechanic LL3
Unlocks purchase of 5.7x28mm R37.F at Mechanic LL3",Yes
Gunsmith - Part 10,Parameter-oriented modding,Modify an AK-105 to comply with the given specifications,"+10,400 EXP
Mechanic Rep +0.02
5× Bundle of wires
2× Metal spare parts
Unlocks purchase of Ammunition case at Mechanic LL2",Yes
Gunsmith - Part 11,Parameter-oriented modding,Modify a KRISS Vector 9x19 to comply with the given specifications,"+11,600 EXP
Mechanic Rep +0.02
500 Dollars
1× SureFire SOCOM556-MINI MONSTER 5.56x45 sound suppressor
Unlocks barter for Colt M4A1 5.56x45 assault rifle (variant SAI ) at Mechanic LL2",Yes
Gunsmith - Part 12,Parameter-oriented modding,Modify a SIG MPX to comply with the required specification,"+12,300 EXP
Mechanic Rep +0.02
500 Dollars
2× AR-15 Vendetta Precision VP-09 Interceptor 5.56x45 muzzle brake
1× FN P90 Attenuator 5.7x28 sound suppressor
1× 5.56x45 SureFire MAG5-100 STANAG 100-round magazine",Yes
Gunsmith - Part 13,Parameter-oriented modding,Modify an R11 RSASS to comply with the given specifications,"+13,600 EXP
Mechanic Rep +0.02
500 Dollars
2× Corrugated hose
2× Pack of nails
Unlocks purchase of KAC PRS/QDC 7.62x51 sound suppressor at Peacekeeper LL3",Yes
Gunsmith - Part 14,Parameter-oriented modding,Modify an HK 416A5 to comply with the required specification,"+14,900 EXP
Mechanic Rep +0.02
500 Dollars
1× Torrey Pines Logic T12W 30Hz thermal reflex sight
3× Gunpowder ""Eagle""
Unlocks purchase of Magpul PRS GEN3 stock (Black) at Peacekeeper LL3",Yes
Gunsmith - Part 15,Parameter-oriented modding,Modify an AS VAL to comply with the given specifications,"+19,400 EXP
Mechanic Rep +0.02
1× Kiba Arms inner grate door key
1× Pressure gauge
Unlocks purchase of VSS/VAL TOZ 6P29M mount at Jaeger LL3",Yes
Gunsmith - Part 16,Parameter-oriented modding,Modify a DVL-10 to comply with the given specifications,"+20,400 EXP
Mechanic Rep +0.03
200,000 Roubles
2× Pack of screws
1× Electric drill
1× Metal fuel tank
Unlocks purchase of Lone Star TX-15 DML 5.56x45 carbine at Skier LL3",Yes
Gunsmith - Part 17,Parameter-oriented modding,Modify an AK-102 to comply with the required specification,"+21,400 EXP
Mechanic Rep +0.03
35,000 Roubles
4× Spark plug
2× GreenBat lithium battery
Unlocks purchase of Magpul AFG tactical foregrip (Olive Drab) at Mechanic LL3
Unlocks purchase of AR-15 Hera Arms CQR pistol grip/buttstock at Mechanic LL4
Unlocks purchase of AK CNC Warrior 5.56x45 muzzle device adapter at Mechanic LL3
Unlocks purchase of AKM/AK-74 Hera Arms CQR47 pistol grip/buttstock at Mechanic LL4",Yes
Gunsmith - Part 18,Parameter-oriented modding,Modify an AKMN to comply with the required specification,"+23,100 EXP
Mechanic Rep +0.03
50,000 Roubles
1× EOTech Vudu 1-6x24 30mm riflescope
1× AK-74 Hexagon Wafflemaker 5.45x39 sound suppressor
1× AK Hexagon Reactor 5.45x39 muzzle brake
Unlocks purchase of Steiner LAS/TAC 2 tactical flashlight at Mechanic LL3
Unlocks purchase of AKM 7.62x39 Kiba Arms .308 muzzle device adapter at Mechanic LL3",Yes
Gunsmith - Part 19,Parameter-oriented modding,Modify an SVDS to comply with the required specification,"+25,500 EXP
Mechanic Rep +0.03
75,000 Roubles
1× Ratchet wrench
1× Bulbex cable cutter
Unlocks purchase of AK Custom Arms AGS-74 PRO + Sniper Kit pistol grip at Skier LL4",Yes
Gunsmith - Part 20,Parameter-oriented modding,Modify an M1A to comply with the required specification,"+26,600 EXP
Mechanic Rep +0.03
500 Euros
AR-15 Hera Arms CQR pistol grip/buttstock
Hera Arms CQR tactical foregrip
Unlocks purchase of AR-10 KAC QDC 7.62x51 Muzzle Brake Kit at Mechanic LL3
Unlocks purchase of Magpul MOE Carbine rubber buttpad at Peacekeeper LL4",Yes
Gunsmith - Part 21,Parameter-oriented modding,"Modify an M700 to comply with the required specification
Modify an M1911 to comply with the required specification","+27,700 EXP
Mechanic Rep +0.03
1× Pistol case
50× 7.62x51mm M993
Unlocks purchase of AR-15 HK Ergo PSG-1 style pistol grip at Mechanic LL4
Unlocks purchase of Strike Industries Advanced Receiver Extension buffer tube (Black) at Mechanic LL4",Yes
Gunsmith - Part 22,Parameter-oriented modding,Modify an M4A1 to comply with the required specification,"+28,900 EXP
Mechanic Rep +0.03
1,000 Euros
1× Magazine case
2× FLIR RS-32 2.25-9x 35mm 60Hz thermal riflescope
Unlocks barter for Trijicon REAP-IR thermal scope at Mechanic LL4
Unlocks purchase of SilencerCo Saker ASR 556 5.56x45 sound suppressor at Peacekeeper LL4",Yes
Gunsmith - Part 23,Parameter-oriented modding,Modify a CMMG Mk47 Mutant to comply with the given specifications,"+29,500 EXP
Mechanic Rep +0.03
1,300 Euros
1× SIG Sauer ECHO1 1-2x30mm 30Hz thermal reflex scope
Unlocks purchase of Mk47 409mm barrel at Mechanic LL4",No
Gunsmith - Part 24,Parameter-oriented modding,Modify a KAC SR-25 to comply with the given specifications,"+31,250 EXP
Mechanic Rep +0.03
1,500 Euros
3× Pipe grip wrench
2× FP-100 filter absorber
Unlocks purchase of Stark SE-5 Express Forward foregrip at Mechanic LL4",No
Gunsmith - Part 25,Parameter-oriented modding,Modify a PKP machine gun to comply with the given specifications,"+35,000 EXP
Mechanic Rep +0.04
5× Physical Bitcoin
1× Weapon case
Unlocks barter for TerraGroup Labs keycard (Black) at Mechanic LL4",No
Signal - Part 1,Discovery,"Find the first signal source
Find the second signal source
Survive and extract from the location","+6,700 EXP
Mechanic Rep +0.02
10,000 Roubles
3× Glock 9x19 SGM Tactical 50-round drum magazine",Yes
Insider,Standing,Reach level 3 loyalty with Prapor,"+6,700 EXP
Mechanic Rep +0.02
800 Euros
2× SilencerCo Osprey 9 9x19 sound suppressor",Yes
Signal - Part 2,PickUp,"Find 3 PC CPUs in raid
Hand over 3 PC CPUs to Mechanic
Find 3 Rechargeable batteries in raid
Hand over 3 Rechargeable batteries to Mechanic
Find 3 Printed circuit boards in raid
Hand over 3 Printed circuit boards to Mechanic
Find 3 Broken GPhone smartphones in raid
Hand over 3 Broken GPhone smartphones to Mechanic","+6,700 EXP
Mechanic Rep +0.02
50,000 Roubles",Yes
Scout,Completion,"Locate the first Factory extraction
Locate the second Factory extraction
Locate the third Factory extraction
Locate the fourth Factory extraction
Survive and extract from the location","+6,800 EXP
Mechanic Rep +0.02
30,000 Roubles
1× Factory emergency exit key",Yes
Surplus Goods,Pickup,"Obtain MBT Integrated Navigation System on Reserve
Hand over the navigation complex to Mechanic","+7,500 EXP
Mechanic Rep +0.02
40,000 Roubles
2× Ultraviolet lamp
2× Energy-saving lamp",Yes
Back Door,Discover,"Find the unpowered secret exit on Reserve
Extract through that exit","+8,200 EXP
Mechanic Rep +0.02
1,000 Euros
1× SV-98 7.62x54R bolt-action sniper rifle",Yes
Signal - Part 3,Completion,"Place the first Signal Jammer on the specified place on Shoreline
Place the second Signal Jammer on the specified place on Shoreline
Place the third Signal Jammer on the specified place on Shoreline
Survive and extract from the location","+8,500 EXP
Mechanic Rep +0.02
30,000 Roubles
1× Benelli M3 Super 90 dual-mode 12ga shotgun
40× 12/70 8.5mm Magnum buckshot",Yes
Signal - Part 4,Skill,Reach the required Memory skill level of 4,"+8,600 EXP
Mechanic Rep +0.02
20,000 Roubles
1× Nightforce ATACR 7-35x56 34mm riflescope",Yes
Farming - Part 1,Completion,"Fix the first control board with a Toolset on Factory
Fix the second control board with a Toolset on Factory
Survive and extract from the location","+6,600 EXP
Mechanic Rep +0.02
25,000 Roubles
2× Light bulb
2× Radiator helix",Yes
Farming - Part 2,PickUp,"Find 2 Power cords in raid
Hand over 2 Power cords to Mechanic
Find 4 T-Shaped Plugs in raid
Hand over 4 T-Shaped Plugs to Mechanic
Find 2 Printed circuit boards in raid
Hand over 2 Printed circuit boards to Mechanic","+5,500 EXP
Mechanic Rep +0.02
15,000 Roubles
1× ASh-12 12.7x55 assault rifle
1× NIXXOR lens",Yes
Bad Habit,PickUp,"Find 5 Malboro cigarettes in raid
Hand over 5 Malboro cigarettes to Mechanic
Find 5 Strike cigarettes in raid
Hand over 5 Strike cigarettes to Mechanic
Find 5 Wilston cigarettes in raid
Hand over 5 Wilston cigarettes to Mechanic","+6,700 EXP
Mechanic Rep +0.02
300 Euros
1× Glock 18C 9x19 machine pistol
300× 9x19mm Green Tracer
Unlocks barter for Bottle of OLOLO Multivitamins at Therapist LL1",Yes
Farming - Part 3,Completion,"Find the warehouse of seized goods on Customs
Obtain the package of graphics cards
Hand over the package of graphics cards to Mechanic","+6,500 EXP
Mechanic Rep +0.02
20,000 Roubles
1× UHF RFID Reader",Yes
Farming - Part 4,PickUp,"Find 3 Graphics cards in raid
Hand over 3 Graphics cards to Mechanic
Find 15 CPU fans in raid
Hand over 15 CPU fans to Mechanic","+8,000 EXP
+3 Attention skill level
Mechanic Rep +0.02
1× Pistol case
1× Glock 17 9x19 pistol (variant Viper)
2× Physical Bitcoin
4× Tetriz portable game console",Yes
Psycho Sniper,Skill,"Reach the required Sniper Rifles skill level of 10
Eliminate 5 PMC operatives without dying while using a bolt-action rifle","+26,700 EXP
+3 Sniper Rifles skill level
+2 Intellect skill levels
+2 Perception skill levels
+1 Stress Resistance skill level
Mechanic Rep +0.03
150,000 Roubles
Unlocks barter for Kalashnikov AK-104 7.62x39 assault rifle (variant T-SAW) at Mechanic LL3",Yes
A Shooter Born in Heaven,Elimination,"Eliminate 5 PMC operatives with a headshot while using a bolt-action rifle on Woods
Eliminate 5 PMC operatives with a headshot while using a bolt-action rifle on Reserve
Eliminate 5 PMC operatives with a headshot while using a bolt-action rifle on Shoreline
Eliminate 5 PMC operatives with a headshot while using a bolt-action rifle on Customs
Eliminate 5 PMC operatives with a headshot while using a bolt-action rifle on Lighthouse
Eliminate 5 PMC operatives with a headshot while using a bolt-action rifle on Streets of Tarkov
Eliminate 5 PMC operatives with a headshot while using a bolt-action rifle on Interchange","+12,500 EXP
+5 Sniper Rifles skill level
Mechanic Rep +0.03
150,000 Roubles
1× HK G28 7.62x51 marksman rifle
2× HK417/G28 7.62x51 20-round magazine
40× 7.62x51mm M993
3× GP coin
Unlocks purchase of Magazine case at Mechanic LL3
Unlocks purchase of HK G28 7.62x51 marksman rifle at Jaeger LL4",Yes
Fertilizers,PickUp,"Find 5 Bundle of wires in raid
Find 5 Capacitors in raid
Hand over 5 Bundle of wires to Mechanic
Hand over 5 Capacitors to Mechanic","+17,200 EXP
Mechanic Rep +0.02
65,000 Roubles
2× Physical Bitcoin
Unlocks purchase of HK USP .45 ACP pistol (variant Match) at Mechanic LL3
Unlocks craft for 9x19mm PBP gzh at Workbench level 3
Unlocks craft for 9x19mm RIP at Workbench level 3",Yes
Import,PickUp,"Find 1 UHF RFID Fixed Reader in raid
Find 1 VPX Flash Storage Module in raid
Hand over 1 UHF RFID Fixed Reader to Mechanic
Hand over 1 VPX Flash Storage Module to Mechanic","+29,000 EXP
Mechanic Rep +0.03
Jaeger Rep -0.01
85,000 Roubles
2× Physical Bitcoin
1× Iridium military thermal vision module
1× Trijicon REAP-IR thermal scope
Unlocks purchase of 4.6x30mm FMJ SX at Mechanic LL4",Yes
Chemistry Closet,Completion,"Locate Sanitar's office in the health resort
Survive and extract from the location","+13,400 EXP
Mechanic Rep +0.05
1,000 Euro
2× SilencerCo Hybrid 46 multi-caliber sound suppressor
1× Graphics card
Unlocks barter for T H I C C Weapon case at Mechanic LL4",Yes
Calibration,Elimination,Eliminate 20 PMCs from at least 100m away,"+93,000 EXP
+1 Perception skill level
1× Kiba Arms armband
5× Can of thermite
Unlocks purchase of 5.45x39mm 7N40 at Prapor LL4
Unlocks barter for Altyn bulletproof helmet (Olive Drab) at Ragman LL4",No
The Courier,Completion,"Stash a Trijicon REAP-IR scope under the base of the yellow crane at the construction site on Customs
Stash a Trijicon REAP-IR scope behind the trash containers at the ""new"" gas station on Customs","+137,000 EXP
+1 Crafting skill level
+1 Intellect skill level
1× SWORD International Mk-18 .338 LM marksman rifle",No
Corporate Secrets,Exploration,"Find the data on water pump operation
Hand over the extracted data
Find the data on pumping station operation
Hand over the extracted data","+8,000 EXP
Mechanic Rep +0.02
40,000 Roubles
Unlocks barter for Kalashnikov AK-104 7.62x39 assault rifle (variant RPKT mod.1) at Mechanic LL1
Unlocks purchase of DevTac Ronin ballistic helmet at Mechanic LL2",Yes
Energy Crisis,Exploration,"Find and mark the group of fuel tanks with an MS2000 Marker on Lighthouse
Find and mark the first tanker truck with an MS2000 Marker on Lighthouse
Find and mark the second tanker truck with an MS2000 Marker on Lighthouse
Find and mark the third tanker truck with an MS2000 Marker on Lighthouse","+13,000 EXP
Mechanic Rep +0.02
75,000 Roubles
Unlocks barter for FN SCAR-L 5.56x45 assault rifle (variant Contract Wars) at Mechanic LL2
Unlocks purchase of Tromix Monster Claw 12ga muzzle brake at Mechanic LL3
Unlocks purchase of Granit 4 ballistic plate (Front) at Prapor LL4",Yes
Broadcast - Part 1,Completion,"Locate the hidden recording studio on Lighthouse
Place a Signal Jammer inside the studio","6,700 EXP
650 Euros
Mechanic Rep +0.03
Can of thermite
Pack of nails",Yes
Broadcast - Part 2,Completion,"Locate the place of bloody broadcast inside the grocery store on Streets of Tarkov
Survive and extract from the location","7,400 EXP
Mechanic Rep +0.02
44,000 Roubles
1x Steyr AUG A1 5.56x45 assault rifle
3× Steyr AUG 5.56x45 10-round magazine
60× 5.56x45mm M855",No
Surveillance,PickUp,"Obtain the data on vehicle movement at the Concordia residential complex parking lot on Streets of Tarkov
Hand over the information","+22,800 EXP
Mechanic Rep +0.02
126,000 Roubles
1× Military power filter",No
Watching You,PickUp,"Locate the surveillance spot on Streets of Tarkov
Obtain the observation results","+18,500 EXP
Mechanic Rep +0.02
94,000 Roubles
2× Military cable",No
Network Provider - Part 1,PickUp,"Hand over the 4 found in raid Electronic components
Hand over the 4 found in raid Military COFDM Wireless Signal Transmitters
Hand over the 4 found in raid Gas analyzers
Hand over the 4 found in raid Broken GPhone smartphones","+18,600 EXP
Mechanic Rep +0.01",No
Network Provider - Part 2,Discovery,"Set up the retransmitter inside the MI-8 helicopter at the water treatment plant
Set up the retransmitter inside the abandoned USEC cottage
Set up the retransmitter at a high elevation overlooking the lighthouse
Set up the retransmitter on the roof of the sunken building at the shore","+19,100 EXP
Mechanic Rep +0.01",No
Assessment - Part 1,Elimination,Eliminate 20 PMC operatives at the Lighthouse premises,"+23,500 EXP
Mechanic Rep +0.01",No
Assessment - Part 2,Discovery,"Locate and mark the first bunker with an MS2000 marker on Woods
Locate and mark the second bunker with an MS2000 marker on Woods
Locate and mark the third bunker with an MS2000 marker on Woods
Locate and mark the fourth bunker with an MS2000 marker on Woods","+24,200 EXP
Mechanic Rep +0.01",No
Assessment - Part 3,PickUp / Elimination,"Eliminate 10 Raiders in The Lab
Hand over the 20 found in raid SJ1 TGLabs combat stimulant injector
Hand over the 8 found in raid SJ6 TGLabs combat stimulant injector
Hand over the 2 found in raid SJ9 TGLabs combat stimulant injector","+24,800 EXP
Mechanic Rep +0.01",No
Key to the Tower,PickUp,"Hand over the 2 found in raid Pieces of plexiglass
Hand over the found in raid Insulating tape
Hand over the 2 found in raid Military circuit boards
Hand over the found in raid Military COFDM Wireless Signal Transmitter
Hand over the found in raid Working LCD
Obtain the Radio transmitter body on Lighthouse
Hand over the Radio transmitter body","+30,500 EXP
Mechanic Rep +0.01",No
Knock-Knock,Completion,"Check if the radio transmitter works near the Lighthouse peninsula
Survive and extract from the location","+31,300 EXP
Mechanic Rep +0.01
Lightkeeper Rep +0.01",No
Getting Acquainted,PickUp,"Obtain the V3 Flash drive on Lighthouse
Reflash the Radio transmitter
Hand over the flash drive
Visit the lighthouse building","+32,000 EXP
Mechanic Rep +0.01",No
Make Amends - Buyout,Loyalty,"Hand over 1,000,000 RUB",Lightkeeper Rep +0.01,No
Make Amends - Equipment,PickUp,Hand over the 4 found in raid SVDS sniper rifles,Lightkeeper Rep +0.01,No
Make Amends,PickUp,"Obtain the V3 Flash drive on Lighthouse
Reflash the Radio transmitter
Hand over the flash drive
Visit the lighthouse building","Mechanic Rep +0.01
Lightkeeper Rep +0.01",No
The Door,Completion,"Locate the cause of the signal jamming on Streets of Tarkov
Install a WI-FI Camera to watch the door
Install a WI-FI Camera to watch the stairwell
Survive and extract from the location","+30,200 EXP
Mechanic Rep +0.01
500 Euros
1× Rusted bloody key
1× Beretta M9A3 9x19 pistol
1× Remington Model 870 12ga pump-action shotgun",No
Steady Signal,Completion,"Mark the first weather station with an MS2000 Marker on Woods
Mark the second weather station with an MS2000 Marker on Woods
Mark the third weather station with an MS2000 Marker on Woods
Mark the fourth weather station with an MS2000 Marker on Woods
Mark the fifth weather station with an MS2000 Marker on Woods","+14,000 EXP
Mechanic Rep +0.02
50,000 Roubles
1× Military cable
1× Military circuit board",No
Developer's Secrets - Part 1,Exploration,"Locate the IT firm office on Streets of Tarkov
Unravel the secret of the firm's success
Survive and extract from the location","+23,000 EXP
Mechanic Rep +0.02
130,000 Roubles
1× PC CPU
1× CPU fan
1× Pliers Elite
1× Awl",No
Developer's Secrets - Part 2,Exploration,"Unravel the secret of the IT firm's employees' high morale on Streets of Tarkov
Survive and extract from the location","+25,400 EXP
Mechanic Rep +0.02
174,000 Roubles
1× Pressure gauge
3× Silicone tube",No
Ragman,,,,
Quest,Type,,,Objectives
Only Business,Merchant,Obtain level 2 loyalty with Ragman,"+6,700 EXP
Ragman Rep +0.02
10,000 Roubles
1× BlackHawk! Commando chest harness (Desert Tan)",Yes
Make ULTRA Great Again,Completion,Eliminate 25 Scavs on Interchange,"+9,800 EXP
Ragman Rep +0.02
Jaeger Rep +0.01
25,000 Roubles
3× WARTECH TV-109 + TV-106 chest rig",Yes
Big Sale,Exploration,"Locate and check the AVOKADO store on Interchange
Locate and check the KOSTIN store on Interchange
Locate and check the tRend store on Interchange
Locate and check the DINO CLOTHES store on Interchange
Locate and check the TOP BRAND store on Interchange
Survive and extract from the location","+8,200 EXP
Ragman Rep +0.03
30,000 Roubles
1× Oakley Mechanism heavy duty backpack (Black)",Yes
A Fuel Matter,Completion,"Mark the first group of fuel tanks with an MS2000 Marker on Reserve
Mark the second group of fuel tanks with an MS2000 Marker on Reserve
Survive and extract from the location","+8,200 EXP
Ragman Rep +0.03
30,000 Roubles
2× Propane tank (5L)",Yes
Inventory Check,Completion,"Check the first arsenal in the western barracks on Reserve
Check the duty room in the western barracks on Reserve
Check the second arsenal in the western barracks on Reserve
Check the first arsenal in the northern barracks on Reserve
Check the second second arsenal in the northern barracks on Reserve
Survive and extract from the location","+10,000 EXP
Ragman Rep +0.03
30,000 Roubles
1× ZSh-1-2M helmet (Green)
Unlocks purchase of Camelbak Tri-Zip assault backpack at Ragman LL3",Yes
The Blood of War - Part 1,Completion,"MS2000 Marker the first tank
MS2000 Marker the second tank
MS2000 Marker the third tank
Survive and extract from the location","+7,500 EXP
Ragman Rep +0.02
60,000 Roubles
2× Metal fuel tank
Unlocks purchase of Hazard 4 Takedown sling backpack at Ragman LL2",Yes
Dressed to Kill,Completion,"Find 2 Kinda Cowboy hats in raid
Find 2 Ushanka ear-flap caps in raid
Hand over 2 Ushanka ear-flap caps to Ragman
Hand over 2 Kinda Cowboy hats to Ragman","+8,400 EXP
Ragman Rep +0.03
21,000 Roubles
1× BNTI Gzhel-K body armor
1× Military power filter",Yes
Gratitude,Completion,"Stash 1 Ghost balaclava in the specified place
Stash 1 Shemagh in the specified place
Stash 1 RayBench sunglasses in the specified place
Stash 1 Round frame sunglasses in the specified place","+14,400 EXP
Ragman Rep +0.03
120,000 Roubles
2× Stich Profi Chimera boonie hat
2× Jack Pyke Hunting LLCS boonie hat
2× Door Kicker boonie hat
2× MIL-TEC boonie hat",Yes
Hot Delivery,Completion,"Stash 2 Peltor ComTac 2 in the specified place
Stash 2 6B47 Helmet in the specified place
Stash 2 BNTI Gzhel-K body armor in the specified place","+20,300 EXP
Ragman Rep +0.04
55,000 Roubles
1× IOTV Gen4 body armor (Full Protection Kit)
Unlocks barter for Mystery Ranch Blackjack 50 backpack (Multicam) at Ragman LL4",Yes
Scavenger,Skill,Reach the required Search skill level of 9,"+17,700 EXP
Ragman Rep +0.03
65,000 Roubles
Unlocks barter for Crash Axe at Ragman LL4",Yes
Sales Night,Completion,Survive and extract on Interchange 7 times,"+17,500 EXP
Ragman Rep +0.03
35,000 Roubles
2× SSO Attack 2 raid backpack
Unlocks puchase of HighCom Striker ULACH IIIA helmet (variant Desert Tan) at Ragman LL4
Unlocks purchase of Granit Br4 ballistic plate at Ragman LL4",Yes
Database - Part 1,Exploration,"Obtain the Goshan cargo manifests on Interchange
Hand over the Goshan cargo manifests to Ragman
Obtain the OLI cargo manifests on Interchange
Hand over the OLI cargo manifests to Ragman
Obtain the IDEA cargo manifests on Interchange
Hand over the IDEA cargo manifests to Ragman","+8,400 EXP
Ragman Rep +0.03
30,000 Roubles
1× MSA Sordin Supreme PRO-X/L headset
1× RayBench Aviator glasses
2× Malboro Cigarettes
Unlocks barter for NFM THOR Concealable Reinforced Vest body armor at Ragman LL2",Yes
Database - Part 2,Completion,"Obtain the OLI cargo route documents on Interchange
Hand over the documents to Ragman","+8,500 EXP
Ragman Rep +0.03
1× Car battery
1× Phase control relay
Unlocks barter for 6B3TM-01M armored rig at Ragman LL2",Yes
Minibus,Completion,"Find an mark the first minibus with an MS2000 Marker on Interchange
Find an mark the second minibus with an MS2000 Marker on Interchange
Find an mark the third minibus with an MS2000 Marker on Interchange
Survive and extract from the location","+13,800 EXP
Ragman Rep +0.03
50,000 Roubles
1× ANA Tactical Beta 2 Battle backpack
Unlocks craft for FirstSpear Strandhogg plate carrier (Ranger Green) at Lavatory level ??
Unlocks barter for Interceptor OTV body armor (UCP) at Ragman LL2",Yes
Sew it Good - Part 1,PickUp,"Find 1 Ski hat with holes for eyes in raid
Hand over 1 Ski hat with holes for eyes to Ragman
Find 1 Pilgrim tourist backpack in raid
Hand over 1 Pilgrim tourist backpack to Ragman","+12,300 EXP
Ragman Rep +0.02
25,000 Roubles
1× LBT-6094A Slick Plate Carrier (variant Black)
1× Walker's XCEL 500BT Digital headset
Unlocks craft for 6B23-2 body armor (Mountain Flora) at Lavatory level ??",Yes
